gene,disease,pubmed_id,year
DRD4,attention deficit hyperactivity disorder,17171657,2006
SLC6A3,attention deficit hyperactivity disorder,16123773,2005
SLC6A3,attention deficit hyperactivity disorder,17485610,2007
SLC6A3,attention deficit hyperactivity disorder,15993876,2005
MAOA,attention deficit hyperactivity disorder,17328795,2007
ADRA2A,attention deficit hyperactivity disorder,16806103,2006
DRD4,attention deficit hyperactivity disorder,17077808,2006
ADRA2A,attention deficit hyperactivity disorder,17283289,2007
DRD4,attention deficit hyperactivity disorder,16894395,2006
DBH,attention deficit hyperactivity disorder,15205702,2004
DRD5,attention deficit hyperactivity disorder,17501935,2007
ADRB2,attention deficit hyperactivity disorder,16894395,2006
HTR4,attention deficit hyperactivity disorder,16563621,2006
SLC6A4,attention deficit hyperactivity disorder,12232786,2002
SLC6A4,attention deficit hyperactivity disorder,16941663,2006
SLC6A2,attention deficit hyperactivity disorder,15322419,2004
SLC6A3,attention deficit hyperactivity disorder,11834311,2002
HTR1D,attention deficit hyperactivity disorder behavior disorder,17068621,2006
DRD4,attention deficit hyperactivity disorder behavior disorder,17572775,2007
PRKCG,attention deficit hyperactivity disorder conduct disorder novelty seeking substance experimentation,17508994,2007
SNAP25,attention deficit hyperactivity disorder depressive disorder major,17455213,2007
DRD4,attention deficit hyperactivity disorder externalizing behavior iq,17146015,2006
DOCK3,attention deficit hyperactivity disorder-like phenotype,14569117,2003
DRD4,attention problems,11409696,2001
DBH,attention-deficit/hyperactivity disorder,11857576,2002
CHRNA4,attentional network function,17613539,2007
CFH,atypical hemolytic uremic syndrome,10577907,1999
SLC6A4,auditory evoked potential,12627465,2003
SLC6A4,auditory evoked potential,12627465,2003
SLC6A4,auditory-evoked potentials,16421513,2006
HTR2A,aura,11489292,2001
DRD2,aura anxiety and depression,9513185,1998
MET,autism,17053076,2006
FOXP2,autism,15737702,2005
NPAS2,autism,17264841,2007
HOXA1,autism,14960295,2004
OXTR,autism,17383819,2007
ADA,autism,11354825,2001
NRP2,autism,17427189,2007
GABRB3,autism,11920158,2002
SLC25A12,autism,16263864,2005
GRIK2,autism,11920157,2002
SLC6A4,autism,17151167,2006
FMR1,autism,15000256,2004
PER1,autism,17264841,2007
HOXA1,autism,14960295,2004
ITGB3,autism,16724005,2006
NLGN4,autism,15389766,2004
GABRB3,autism,17230033,2007
SLC6A4,autism,9361027,1997
RELN,autism,11317216,2001
SLC25A12,autism,15056512,2004
RELN,autism,12192627,2002
APC,autism,17221838,2007
NF1,autism,15389774,2004
GSTM1,autism,16472391,2006
MAOA,autism,12919132,2003
AVPR1A,autism,16520824,2006
TPH2,autism,15768392,2005
HRAS,autism,8098541,1993
HLA-DRB1,autism,8765331,1996
NRCAM,autism obsessive compulsive disorder,17106428,2006
EN2,autism spectrum disorder,15024396,2004
VDR,autoimmune hepatitis,11786968,2002
CTLA4,autoimmune hepatitis,10613727,2000
HLA,autoimmune hepatitis type 1,15683420,2005
CTLA4,autoimmune hypothyroidism,12724780,2003
CTLA4,autoimmune hypothyroidism,11842815,2002
CIITA,autoimmune inflammatory disease,15821736,2005
CHRNA1,autoimmune myasthenia gravis,8738961,1996
HLA,autoimmune pancreatitis,11984513,2002
HLA-DQA1,autoimmune polyglandular syndrome,12734793,2003
HLA-DQA1,autoimmune response,16792673,2006
CTLA4,autoimmune response,16792673,2006
HLA-DQB1,autoimmune response,16792673,2006
CTLA4,autoimmune thyroid disease,11081251,2000
HLA,autoimmune thyroid disease,8288722,1994
CTLA4,autoimmune thyroid disease,14986169,2004
TG,autoimmune thyroid disease,14557492,2003
CTLA4,autoimmune thyroid disease,10895849,2000
CD40,autoimmune thyroiditis graves disease hashimotos thyroiditis,16756465,2006
HLA-DRB1,autologous mixed lymphocyte reaction,6238447,1984
NFKBIA,autosomal dominant anhidrotic ectodermal dysplasia and t cell immunodeficiency,14523047,2003
RDS,autosomal dominant cone-rod dystrophy,8540854,1996
TECTA,autosomal dominant hearing loss,12162770,2002
FSCN2,autosomal dominant macular degeneration,14609921,2003
RHO,autosomal-dominant retinitis pigmentosa,8841304,1996
DLL3,axial skeletal defects,11923214,1
GSTM1,azathioprine adverse effects,17206640,2007
ITPA,azathioprine tolerance,15571265,2004
FKBP6,azoospermia,15696470,2005
HLA-DQB1,azoospermia,12366783,2002
SYCP3,azoospermia,14643120,2003
RBMX,azoospermia,16491274,2006
HLA-DRB1,azoospermia,12366783,2002
AHRR,azoospermia infertility male oligospermia,17559847,2007
FASLG,azoospermia oligospermia,17491259,2007
AR,azoospermia oligospermia,15934454,2005
GSTT1,azoospermia oligospermia,17569254,2007
BMPR1A,bacteremia,16886151,2006
SMAD3,bacteremia,16886151,2006
BMP6,bacteremia,16886151,2006
SMAD6,bacteremia,16886151,2006
TGFBR3,bacteremia,16886151,2006
IGF1R,bacteremia,16886151,2006
CHIT1,bacterial infection,16107886,2005
MBL2,bacterial infection,15674393,2005
IL6,bacterial vaginosis,16202743,2005
IL1B,bacterial vaginosis,16202743,2005
IL8,bacterial vaginosis,16202743,2005
KCNMB1,baroreflex and blood pressure regulation,12011654,2002
NQO1,barrett esophagus esophageal cancer,17575500,2007
BCHE,bche serum levels,1349196,1992
NR3C1,bcli restriction fragment length polymorphism at the glucocorticoid receptor gene locus,9192392,1997
IGF2,beckwith wiedemann syndrome,14645199,2003
HTR2A,behavior problems,11121184,2000
DRD4,behavior problems,17608284,2007
MAOA,behavioural traits,16896926,2006
MBL2,behcets disease,15730518,2005
NOS3,behcets disease,17067432,2006
MEFV,behcets disease,15903027,2005
SOD2,behcets disease,17296902,2007
HLA-B,behcets disease,11796403,2002
CYP2C19,behcets disease,17269966,2007
NOS3,behcets disease,11908569,2002
ITGA2,behcets disease,12412731,2002
NOS3,behcets disease,14583572,2003
HLA-B,behcets disease,12492815,2002
MEFV,behcets disease,14727457,2003
F2,behcets disease,11820731,2001
HLA-B,behcets disease,10440244,1999
HLA-B,behcets disease,12068141,2002
MICA,behcets disease,9037047,1997
IL1A,behcets disease,12730545,2003
HLA-B,behcets disease,8213969,1993
CYP1A1,behcets disease,15088300,2004
HLA-B,behcets disease,11508592,2001
HLA-B,behcets disease,12911283,2003
HLA-B,behcets disease,12068141,2002
HLA-B,behcets disease,12209364,2002
HLA-B,behcets disease,9714478,1998
NOS3,behcets disease,15705632,2005
MICA,behcets disease,12068141,2002
MICA,behcets disease,12492815,2002
NOS3,behcets disease,11908569,2002
MEFV,behcets disease thromboembolism venous,17454935,2007
VDR,benign prostatic hyperplasia and benign prostatic enlargement,11248649,2001
XRCC1,benzene toxicity,17605237,2007
NQO1,benzene toxicity,12460800,2002
XRCC3,benzene toxicity,17535647,2007
NQO1,benzene toxicity,15748501,2005
ERCC2,benzene toxicity,16889696,2006
CCND1,benzene toxicity,17605237,2007
UGT1A6,benzene toxicity,17424838,2007
XRCC1,benzene toxicity,15612468,2004
GYPA,benzene toxicity,17456399,2007
NQO1,benzene toxicity,14694720,2002
XRCC1,benzene toxicity,17535647,2007
NQO1,benzene toxicity,15727169,2004
MPO,benzene toxicity,17424838,2007
GSTT1,benzene toxicity,15256146,2004
GSTT1,benzene toxicity,15748501,2005
GSTM1,benzene toxicity,15748501,2005
GSTT1,benzene toxicity,12460800,2002
CYP2E1,benzene toxicity,12460800,2002
GP1BA,bernard-soulier syndrome,7819107,1994
GP1BB,bernard-soulier syndrome,10928480,2000
GP1BA,bernard-soulier syndrome,2308962,1990
GP1BA,bernard-soulier syndrome,11776304,2001
GP9,bernard-soulier syndrome,9163595,1997
GP9,bernard-soulier syndrome,9432024,1997
APC,beta-catenin,8259518,1993
PON1,beta-cell function,15097870,2004
VDR,betacl osteocalcin,17019952,2006
COL1A1,betacl osteocalcin,17019952,2006
TP53,betel-quid chewing,9714051,1998
IL13,bhr,11588017,2001
ADAM33,bhr,12110844,2002
ADRB2,bhr,11029338,2000
ADRB2,bhr,11029338,2000
IL13,bhr,11588017,2001
TGFBI,bigh3 gene mutations,11024425,2000
AGC1,bilateral hand osteoarthritis,9876393,1998
F2,bilateral iliac vein thrombosis,11728531,2001
MIF,biliary atresia,16385258,2006
UGT1A1,bilirubin,17374650,2007
UGT1A1,bilirubin,16609363,2006
MC4R,binge eating,12646666,2003
ACE,bipolar affective disorder,11027844,2000
SSTR5,bipolar affective disorder,12192619,2002
HTR3A,bipolar affective disorder,11505217,2001
SYBL1,bipolar affective disorder,11840509,2002
AGT,bipolar affective disorder,11027844,2000
MAOA,bipolar affective disorder,8776592,1996
SLC6A4,bipolar affective disorder,11093065,2000
SSTR5,bipolar affective disorder.,12192619,2002
COMT,bipolar affective disorder.,9352569,1997
SLC6A4,bipolar and unipolar disorder,11913731,2001
DRD1,bipolar disorder,15704231,2005
NCAM1,bipolar disorder,15050861,2004
GSK3B,bipolar disorder,14729229,2004
G72/G30,bipolar disorder,12647258,2003
CLOCK,bipolar disorder,14582141,2003
TRPM2,bipolar disorder,16252251,2005
GABRA5,bipolar disorder,9514592,1998
BDNF,bipolar disorder,16152572,2005
GSK3B,bipolar disorder,15351432,2004
MAOA,bipolar disorder,10831475,2000
DRD3,bipolar disorder,7573178,1995
BDNF,bipolar disorder,14636373,2003
HTR2A,bipolar disorder,12898571,2003
MAOA,bipolar disorder,7485270,1995
HTR2A,bipolar disorder,11702051,2001
BDNF,bipolar disorder,12161822,2002
DRD3,bipolar disorder,9613861,1998
SLC6A4,bipolar disorder,15111989,2004
DRD2,bipolar disorder,7760324,1995
SLC6A4,bipolar disorder,11121194,2000
HTR3A,bipolar disorder,11505217,2001
BDNF,bipolar disorder,17012654,2006
HTR2A,bipolar disorder,11983190,2002
XBP1,bipolar disorder,15927087,2005
GABRA5,bipolar disorder,15882799,2005
NDUFV2,bipolar disorder,15450783,2004
ALOX12,bipolar disorder,12664313,2003
BDNF,bipolar disorder,16568151,2006
HTR4,bipolar disorder,12399948,2002
PLCG1,bipolar disorder,11409699,2001
MAOA,bipolar disorder,16958037,2006
MT-ND1,bipolar disorder,15533721,2004
SLC18A1,bipolar disorder,16936705,2006
COMT,bipolar disorder,9702745,1998
DGKH,bipolar disorder,17486107,2007
COMT,bipolar disorder,9861640,1998
PER3,bipolar disorder,16528748,2006
COMT,bipolar disorder,9702744,1998
S100B,bipolar disorder,17525977,2007
SLC6A4,bipolar disorder,12431765,2002
NAPG,bipolar disorder,16395123,2006
ARNTL,bipolar disorder,16528748,2006
SYNJ1,bipolar disorder,11443522,2001
NOS3,bipolar disorder,15967063,2005
SLC6A4,bipolar disorder,9845763,1998
MLC1,bipolar disorder catatonia schizophrenia,17210142,2007
OTX2,bipolar disorder depression,17541950,2007
TPH2,bipolar disorder depressive disorder major,17167340,2007
DAOA,bipolar disorder mood disorder schizophrenia,16585465,2006
DTNBP1,bipolar disorder schizoaffective disorder,17433541,2007
MTHFD1,bipolar disorder schizophrenia,17417062,2007
TAAR6,bipolar disorder schizophrenia,17097106,2006
PDE4B,bipolar disorder schizophrenia,17417055,2007
MTR,bipolar disorder schizophrenia,17417062,2007
DRD1,bipolar disorder schizophrenia,16397404,2006
TPH2,bipolar disorder suicide,16806105,2006
TPH2,bipolar disorder unipolar disorder,17015812,2006
VDR,birth height growth to adolescence and adult stature,10770213,2000
ALPP,birth weight,14595869,2003
IGF1R,birth weight,14657428,2003
GSTT1,birth weight,15719050,2005
TPK1,birth weight,17295612,2007
IRS1,birth weight,11874945,2002
EGF,birth weight,17392355,2007
EPHX1,birth weight,15719050,2005
NPY,birth weight and serum triglyceride concentration,10770181,2000
HLA-DRB1,birth weight body mass,17310371,2007
IGF2,birth weight fetal growth,17407457,2007
LRP8,birth weight fetal growth,16642433,2006
IGF2R,birth weight fetal growth,17407457,2007
GCK,birth weight glucose,17186458,2006
HNF4A,birth weight hypoglycemia,17407387,2007
IFNG,birth weight perinatal complications,16754651,2006
IL12A,birth weight perinatal complications,16754651,2006
PPARG,birth weight preterm delivery,17259396,2007
GSTT1,bladder cancer,15122594,2004
MMP3,bladder cancer,17473191,2007
AHR,bladder cancer,11866883,2002
FAS,bladder cancer,16538171,2006
GSTT1,bladder cancer,10840461,2000
OGG1,bladder cancer,17214369,2006
CDH1,bladder cancer,14501773,2003
MMP12,bladder cancer,17473191,2007
CDKN1A,bladder cancer,12474524,2002
VEGFA,bladder cancer,17319747,2007
GSTM1,bladder cancer,15122594,2004
NOS2A,bladder cancer,17482959,2007
CCND1,bladder cancer,15245939,2004
ERCC5,bladder cancer,16536785,2006
HRAS,bladder cancer,12540507,2003
MMP1,bladder cancer,17473191,2007
GSTT1,bladder cancer,14688016,2003
MMP9,bladder cancer,17473191,2007
GPX1,bladder cancer,15247771,2004
GSTM1,bladder cancer,17340208,2007
HRAS,bladder cancer,14688016,2003
FASLG,bladder cancer,16538171,2006
NAT2,bladder cancer,15312364,2004
FGFR3,bladder cancer,16877735,2006
RGS6,bladder cancer,15375002,2004
MMP2,bladder cancer,17473191,2007
SOD2,bladder cancer,14729580,2004
PLAU,bladder cancer,16825821,2006
CDKN2A,bladder cancer,12532425,2003
MDM2,bladder cancer,17094469,2006
GNAS,bladder cancer,15824158,2005
MMP8,bladder cancer,17473191,2007
NAT2,bladder cancer,15725609,2005
MPO,bladder cancer,14729580,2004
NAT2,bladder cancer,11431340,2001
NAT2,bladder cancer,15122594,2004
MTHFR,bladder cancer,15219943,2004
XRCC3,bladder cancer,11304692,2001
SULT1A1,bladder cancer,14643027,2003
TP53,bladder cancer,8640913,1996
TP53,bladder cancer,1540947,1992
NQO1,bladder cancer,12694753,2003
NAT1,bladder cancer,11431340,2001
NAT1,bladder cancer,14564055,2001
CCND1,bladder cancer urinary,11872630,2002
BCL10,blast crisis of chronic myeloid leukaemia,10557068,1999
TP73L,blastic crisis,11681414,2001
F3,bleeding complications,15892865,2005
TFPI,bleeding complications,15892865,2005
F2,bleeding complications,15892865,2005
CYP2C9,bleeding complications,16699986,2006
ITGA2,bleeding complications,15892865,2005
GP1BA,bleeding complications,15892865,2005
ACE,bleeding complications,15892865,2005
SERPINF2,bleeding tendency,10583218,1999
DRD5,blepharospasm,11781417,2002
CYP2C9,blood and blood forming organ disorders,12621390,2003
HBB,blood and blood forming organ disorders,12082507,2002
CAT,blood catalase levels,11182520,2001
NOS3,blood flow,12483466,2002
CPB2,blood pressure,11903334,2001
NPPA,blood pressure,12193960,2002
AGT,blood pressure,10899077,2000
NPPA,blood pressure,12193960,2002
BDKRB2,blood pressure,12107246,2002
SELE,blood pressure,11575218,2001
ADD1,blood pressure,12107246,2002
SELE,blood pressure,11575218,2001
GPR10,blood pressure,14691196,2004
NOS3,blood pressure,11082161,2000
PRLHR,blood pressure,12716769,2003
SCNN1A,blood pressure,11752024,2002
AGT,blood pressure,7955175,1994
SLC14A2,blood pressure,11590132,2001
ESR2,blood pressure,11185739,2000
TAF1,blood pressure,11903334,2001
ACE,blood pressure,10899077,2000
TGFB1,blood pressure,12032592,2002
HSD3B1,blood pressure,12054649,2002
NOS3,blood pressure arterial,15466663,2004
ADRB2,blood pressure arterial,16188057,2005
MT-ND2,blood pressure arterial,14688809,2004
ADRB2,blood pressure arterial,16041242,2005
IGF1R,blood pressure arterial,15043778,2004
GPR10,blood pressure arterial,14691196,2004
ACE,blood pressure arterial,17531119,2007
CYP11B2,blood pressure arterial,15055249,2004
SELE,blood pressure arterial,15076188,2004
F7,blood pressure arterial,15452029,2004
ACE2,blood pressure arterial,16459167,2006
GNB3,blood pressure arterial,16015130,2005
CYP3A5,blood pressure arterial,16141800,2005
ADD1,blood pressure arterial,15110895,2004
SGK,blood pressure arterial,16221215,2005
ESR1,blood pressure arterial,15167447,2004
AHR,blood pressure arterial,17053541,2006
ESR2,blood pressure arterial,15167447,2004
NPPA,blood pressure arterial,16368448,2005
ACE,blood pressure arterial,15076187,2004
APOC3,blood pressure arterial,15076187,2004
ACE,blood pressure arterial,16080804,2005
CYP3A5,blood pressure arterial,15596575,2004
SLC4A5,blood pressure arterial,16365189,2005
MTTP,blood pressure arterial,16328015,2006
GNAI2,blood pressure arterial,16565233,2006
LPL,blood pressure arterial,15076187,2004
CYP1A1,blood pressure arterial,17053541,2006
GRK4,blood pressure arterial,16461192,2006
CYP11B2,blood pressure arterial,17531119,2007
CYP11B2,blood pressure arterial,17003099,2006
DRD1,blood pressure arterial,16876683,2006
CAPN5,blood pressure arterial body mass cholesterol hdl metabolic syndrome,17227582,2007
KL,blood pressure arterial body mass glucose insulin lipids,16957409,2006
AGTR2,blood pressure arterial body mass glucose tolerance lipids,17270098,2007
RETN,blood pressure arterial body mass kidney disease metabolic syndrome myocardial infarct obesity triglycerides,17598818,2007
CYP11B2,blood pressure arterial cholesterol,16580565,2006
AKT2,blood pressure arterial cholesterol insulin resistance metabolic syndrome,17576055,2007
MTTP,blood pressure arterial diabetes type 2 glucose insulin,16721486,2006
ADIPOR1,blood pressure arterial diabetes type 2 insulin,17285539,2007
GUCA2B,blood pressure arterial electrolyte levels,17582287,2007
CAST,blood pressure arterial hypertension,17137217,2006
LPL,blood pressure arterial hypertension,17137217,2006
APOB,blood pressure arterial hypertension,17137217,2006
KCNJ11,blood pressure arterial hypertension,17137217,2006
CAV1,blood pressure arterial hypertension,17334644,2007
CFH,blood pressure arterial hypertension,17137217,2006
ADRB1,blood pressure arterial hypertension,17334644,2007
TRH,blood pressure arterial hypertension,17137217,2006
CLCNKB,blood pressure arterial hypertension,17137217,2006
GYS1,blood pressure arterial hypertension,17137217,2006
LIPC,blood pressure arterial hypertension,17137217,2006
IKBKAP,blood pressure arterial hypertension,17137217,2006
CYP4A11,blood pressure arterial hypertension,16957555,2006
CYP11B2,blood pressure arterial hypertension,17334644,2007
GHR,blood pressure arterial hypertension,17137217,2006
CNR2,blood pressure arterial hypertension,17334644,2007
QPCT,blood pressure arterial hypertension,17334644,2007
VWF,blood pressure arterial hypertension,17137217,2006
P2RY2,blood pressure arterial hypertension,17137217,2006
NOS3,blood pressure arterial hypertension,17330057,2007
FYN,blood pressure arterial hypertension,17334644,2007
PON2,blood pressure arterial hypertension,17137217,2006
GPX1,blood pressure arterial hypertension,17334644,2007
SLC4A1,blood pressure arterial hypertension,17137217,2006
CTNS,blood pressure arterial hypertension,17137217,2006
COL1A2,blood pressure arterial hypertension,17334644,2007
TXNIP,blood pressure arterial hypertriglyceridemia,17381501,2007
ADD1,blood pressure arterial intima-media thickness,16531798,2006
CYP3A5,blood pressure arterial kidney function,16612255,2006
FABP2,blood pressure arterial obesity,16809903,2006
ADM,blood pressure arterial urinary sodium,16609682,2006
AGT,blood pressure phenotypes.,12511525,2003
BLM,blooms syndrome,9285778,1997
LEP,bmi,12037648,2002
HSD11B1,body composition,12861241,2003
UCP3,body composition changes,11842047,2002
FABP2,body fat,15572430,2004
NR3C1,body fat,11571596,2001
UCP3,body fat,11151767,2000
RETN,body fat body mass diabetes type 2 lipoprotein,17565416,2007
ESR1,body fat distribution,12917706,2003
SH2B1,body fat leptin,17228025,2007
IGF1,body height,15272914,2004
PPARD,body mass,16652134,2006
ADRA2B,body mass,15166301,2004
ENPP1,body mass,17228024,2007
AGRP,body mass,15054840,2004
GHRL,body mass,16865101,2006
CNTFR,body mass,12807897,2003
PMCH,body mass,17541984,2007
ADRA2A,body mass,12080184,2002
UCP2,body mass,16982633,2006
AR,body mass,15377647,2004
PLA2G7,body mass,17174223,2007
LEP,body mass,12037648,2002
INSIG2,body mass,17465681,2007
APOA2,body mass,15833935,2005
IGF2,body mass,11448941,2001
HTR1B,body mass,11690602,2001
LEPR,body mass,12032747,2002
NPY,body mass,15680469,2005
UCP2,body mass,15045692,2004
CNTF,body mass,12404108,2002
UCP1,body mass,14671150,2003
IL6,body mass,15172007,2004
UCP3,body mass,15045692,2004
IGF2,body mass,16102992,2005
UCP1,body mass,12756473,2003
BDNF,body mass,16707914,2006
RETN,body mass,15221446,2004
RETN,body mass bone density muscle testing,17299113,2007
SLC6A4,body mass bulimia harm avoidance personality disorders,16449418,2006
USF1,body mass cardiovascular risk factors lipoprotein,17309647,2007
FABP2,body mass cholesterol cholesterol hdl diabetes type 2 leptin,16718625,2006
GHRL,body mass cholesterol hdl,17616759,2007
TCF7L2,body mass cholesterol hdl diabetes type 2 glucose insulin metabolic syndrome triglycerides,17181866,2006
APOA2,body mass cholesterol hdl food consumption lipids,17446329,2007
PPARD,body mass cholesterol ldl glucose insulin,17116180,2006
IL18,body mass coronary artery bypass graft,17445542,2007
FASLG,body mass diabetes type 2 insulin,16691186,2006
FAS,body mass diabetes type 2 insulin,16691186,2006
CD14,body mass diabetes type 2 triglycerides,16409569,2006
PPARG,body mass energy metabolism,16771114,2006
FABP2,body mass fatty acid glucose tolerance lipoprotein,16908951,2006
RETN,body mass glucose tolerance glycemia insulin,17223990,2007
GAD2,body mass glucose tolerance glycemia obesity localized,17459095,2007
MC4R,body mass height weight gain,16279363,2005
UCP2,body mass index,10382588,1999
ADRB3,body mass index,11743057,2001
ADRB3,body mass index,9661625,1998
LEPR,body mass index and waist circumference,12032747,2002
TCF7L2,body mass insulin,17130514,2006
ADIPOR1,body mass insulin,16724230,2006
UCP1,body mass insulin waist circumference,17397545,2007
MC4R,body mass leptin obesity,17587397,2007
LEP,body mass leptin obesity,17587397,2007
NPY,body mass leptin obesity localized,16568137,2006
ADIPOQ,body mass metabolic rate,17209173,2007
IL6R,body mass metabolic syndrome,16817825,2006
APOA5,body mass obesity,17211608,2007
MAOA,body mass obesity,16674552,2006
MAOB,body mass obesity,16674552,2006
LEPR,body mass obesity,17415990,2006
GPR50,body mass obesity triglycerides,16436372,2006
PON1,body mass paraoxonase activity polycystic ovary syndrome,16880229,2006
OPRM1,body mass smoking behavior,17224915,2007
PPARG,body weight,12429071,2002
ADRB2,body weight,11775127,2001
ANKH,body weight height limb length,16724232,2006
NMB,body weight regulation,11194934,2000
COL1A1,bone characteristics,12232678,2002
PLOD1,bone density,17390085,2007
ESR2,bone density,15354857,2004
PLOD1,bone density,16758144,2006
DBP,bone density,12968673,2003
RUNX2,bone density,16418782,2006
ESR2,bone density,12151079,2002
LRP5,bone density,16622736,2006
ESR2,bone density,15354857,2004
PLIN,bone density,16786163,2006
ESR2,bone density,16118344,2005
KIT,bone density,17487541,2007
COL1A1,bone density,12447604,2002
SERPINE1,bone density,17559626,2007
COL1A1,bone density,16114814,2005
LRP5,bone density,17137849,2007
ESRRA,bone density,15883633,2005
PLAU,bone density,17559626,2007
ESR1,bone density,12895309,2003
CNR2,bone density,17390085,2007
ESR1,bone density,15070949,2004
ICAM1,bone density,17390085,2007
ESR1,bone density,12457453,2002
ESR2,bone density,16949392,2006
GNRH1,bone density,12633791,2003
GGCX,bone density,17029979,2006
ALOX15,bone density,15838625,2005
LRP5,bone density,17307038,2007
IRAK1,bone density,12619925,2003
ESR2,bone density,16622736,2006
CALCR,bone density,12016463,2002
LIPC,bone density,17390085,2007
CYP19A1,bone density,16344016,2005
IL6,bone density,17046587,2006
CYP19A1,bone density,15181061,2004
LRP5,bone density,17241106,2006
COL1A1,bone density,10084560,1999
SULT1E1,bone density,16969590,2006
CALCR,bone density,11136533,2000
LRP5,bone density,17306638,2007
CLCN7,bone density,16234969,2005
PPARGC1A,bone density,17241533,2007
KL,bone density,12369777,2002
COL1A1,bone density,17303000,2007
KL,bone density,12369777,2002
ESR1,bone density,16622736,2006
ALPL,bone density,15824850,2005
ESR1,bone density,16949392,2006
CCL2,bone density,15607028,2004
KL,bone density,17205327,2007
COL1A1,bone density,11136533,2000
FOXC2,bone density,16786163,2006
CD38,bone density,16369895,2006
TNFRSF1B,bone density,14565595,2003
CASR,bone density,12040821,2002
TNFRSF1B,bone density,15071724,2004
BGLAP,bone density,12843190,2003
POMC,bone density,15864412,2005
IL10,bone density,15607028,2004
TNFRSF1B,bone density,12217957,2002
AHSG,bone density,15917161,2005
LEPR,bone density,12457453,2002
DRD4,bone density,14605948,2003
LEPR,bone density,15834329,2005
CALCR,bone density,12905735,2003
PTHR1,bone density,16369896,2006
CALCR,bone density,14614653,2003
ALOX12,bone density,17520163,2007
PTH,bone density,11984699,2002
IL6,bone density,11212160,2001
PDE4D,bone density,15752431,2005
QPCT,bone density,15231017,2004
CCR2,bone density,12079277,2002
PON1,bone density,12955589,2003
LRP5,bone density,14727154,2004
PLOD1,bone density,14565595,2003
CASR,bone density,17046587,2006
LRP5,bone density,15355556,2004
LRP5,bone density,15221492,2004
LRP5,bone density,15201508,2004
RIL,bone density,12908099,2003
LRP5,bone density,15077203,2004
MMP1,bone density,12225803,2002
IL6,bone density,11355017,2001
PON2,bone density,12955589,2003
CASR,bone density,17309124,2007
IL6,bone density,12843190,2003
TGFB1,bone density,12838101,2003
AHSG,bone density,17557141,2007
RUNX2,bone density,15193550,2004
RUNX2,bone density,12162506,2002
NPY,bone density,15336593,2004
AHSG,bone density,17303000,2007
LEPR,bone density,15130412,2004
VDR,bone density,12905734,2003
ALOX12,bone density,16598376,2006
ALDH2,bone density,16520888,2006
TNFRSF11B,bone density,15978970,2005
VDR,bone density,12958689,2003
MMP9,bone density,14767860,2004
CAT,bone density,17209132,2007
TNFRSF11B,bone density,15782282,2005
VDR,bone density,11984699,2002
TNFRSF11A,bone density,16249885,2005
VDR,bone density,12843190,2003
KL,bone density and spondylosis,12110410,2002
WRN,bone density but not spondylosis,11498731,2001
CYP3A7,bone density dehydroepiandrosterone sulphate osteoporosis,17604264,2007
SHBG,bone density dihydrotestosterone estradiol sex hormone binding globulin testosterone,16926255,2006
NOS3,bone density fracture risk,16503213,2006
ESR2,bone density fracture risk osteoporosis postmenopausal,16777502,2006
ESR2,bone density fractures vertebral,16939403,2006
IGF1,bone density fractures vertebral,16939403,2006
ESR1,bone density fractures vertebral,16939403,2006
PLXNA2,bone density fractures vertebral osteoporosis postmenopausal,16932874,2006
PTHR1,bone density height,16508749,2006
KL,bone density osteoarthritis osteoporosis,16955217,2006
BGLAP,bone density osteocalcin,16735944,2006
COL1A1,bone fractures,11547828,2001
LCT,bone fractures,15667380,2005
IL6,bone loss,11040178,2000
CALCR,bone loss,11858573,2002
IL1R1,bone loss,11040178,2000
HLA-DPB1,bone marrow transplant,8932283,1996
FCGR2A,bone marrow transplantation,12393699,2002
HLA-E,bone marrow transplantation,16003246,2005
IL18,bone marrow transplantation,15327523,2004
VDR,bone mass,8781042,1996
CYP19A1,bone mass,15207764,2004
VDR,bone mass,14634546,2003
IL1R1,bone mass,12240899,2002
VDR,bone mass,9860300,1998
COL1A2,bone mass,12813128,2003
TNFRSF1B,bone mass,12217957,2002
GH1,bone mass,15472182,2004
VDR,bone mass,11355046,2001
COL1A1,bone mass,12232678,2002
TCIRG1,bone mass,14523594,2003
ESR1,bone mass,16086289,2005
ESR2,bone mass,15068501,2004
NCOA3,bone mass igf-i levels sex steroid hormones,16263829,2006
VDR,bone metastases,12566913,2003
APOE,bone mineral density,9286760,1997
VDR,bone mineral density,12818464,2003
IGF1,bone mineral density,12915683,2003
VDR,bone mineral density,10329864,1999
IGF1,bone mineral density,9661596,1998
VDR,bone mineral density,9438916,1997
GC,bone mineral density,10485974,1999
IL6,bone mineral density,12110411,2002
CYP17A1,bone mineral density,14715870,2004
IL6,bone mineral density,12036196,2002
CALCR,bone mineral density,9675109,1998
MMP1,bone mineral density,12225803,2002
CALCA,bone mineral density,11185743,2000
CCR2,bone mineral density,12079277,2002
ESR1,bone mineral density,12110951,2002
VDR,bone mineral density,10367030,1999
ESR1,bone mineral density,12457453,2002
VDR,bone mineral density,8845602,1996
ESR1,bone mineral density,12412813,2002
VDR,bone mineral density,11043509,2000
ESR1,bone mineral density,12837697,2003
TNFR2,bone mineral density,10893687,2000
ESR1,bone mineral density,14764789,2004
IL6,bone mineral density,11355017,2001
COL1A1,bone mineral density,10025922,1999
IL6,bone mineral density,12843190,2003
